codigo_dane,municipio,tasa_incidencia,tasa_mortalidad
15317,GUACAMAYAS,2123.3495,0.0
76318,GUACARÍ,6419.7648,1886.8689
19300,GUACHENÉ,2153.6022,746.7665
25317,GUACHETÁ,6118.1982,1299.1624
52317,GUACHUCAL,2513.9372,1127.9445
76111,GUADALAJARA DE BUGA,11379.268,2558.3314
41319,GUADALUPE,3744.475,1876.8839
05315,GUADALUPE,1842.7815,246.4691
68320,GUADALUPE,2334.4957,222.0588
25320,GUADUAS,5819.4324,1555.6198
52320,GUAITARILLA,2651.915,893.8462
52323,GUALMATÁN,2816.9484,729.8799
47318,GUAMAL,3098.0905,1384.171
50318,GUAMAL,4714.6821,1168.3114
73319,GUAMO,4779.0955,1738.3709
19318,GUAPI,1371.8095,843.7892
68322,GUAPOTÁ,4180.0808,0.0
70265,GUARANDA,2159.1318,1028.8817
05318,GUARNE,9668.4953,1646.0606
25322,GUASCA,5609.3652,1156.0067
05321,GUATAPÉ,6756.6912,910.654
25324,GUATAQUÍ,3635.2576,182.716
25326,GUATAVITA,6621.1076,974.2854
15322,GUATEQUE,9858.6784,1993.2845
68324,GUAVATÁ,3643.6888,1327.5443
25328,GUAYABAL DE SÍQUIMA,3001.573,441.5408
25335,GUAYABETAL,2926.9202,934.6997
15325,GUAYATÁ,2594.7825,509.3148
25339,GUTIÉRREZ,1902.3362,985.8176
66318,GUÁTICA,2994.7936,878.0511
68298,GÁMBITA,1648.8129,648.0799
15296,GÁMEZA,2219.53,1535.9039
63302,GÉNOVA,4050.3953,820.492
05310,GÓMEZ PLATA,3484.2083,284.485
68327,GÜEPSA,3443.3071,1465.547
15332,GÜICÁN DE LA SIERRA,3635.5489,778.4997
54344,HACARÍ,875.5001,450.2177
13300,HATILLO DE LOBA,1370.3155,527.3957
68344,HATO,2789.5655,573.2585
85125,HATO COROZAL,4914.4659,935.9274
44378,HATONUEVO,4641.9251,1275.4409
05347,HELICONIA,4251.5607,1386.8655
54347,HERRÁN,2544.0203,436.1121
73347,HERVEO,1650.9229,669.5995
05353,HISPANIA,4719.0276,957.3321
41349,HOBO,4470.2344,2497.538
73349,HONDA,6703.2627,3889.8991
73001,IBAGUÉ,16055.2951,2891.9172
73352,ICONONZO,1914.8571,1028.4954
52352,ILES,3578.5619,1091.6869
52354,IMUÉS,3896.7704,709.6238
19355,INZÁ,1137.1623,375.7114
94001,INÍRIDA,8638.6366,1553.4478
52356,IPIALES,8227.9189,3193.7055
41359,ISNOS,4341.1124,2710.8316
27361,ISTMINA,3530.4945,1229.1582
05360,ITAGÜÍ,17382.9733,2488.8245
05361,ITUANGO,4995.8415,684.9422
15362,IZA,7711.9467,816.5072
19364,JAMBALÓ,519.7036,329.6309
76364,JAMUNDÍ,7213.021,1738.526
05364,JARDÍN,6338.1191,993.6006
15367,JENESANO,2574.1954,796.1246
05368,JERICÓ,4496.7139,564.7355
15368,JERICÓ,1381.645,300.0283
25368,JERUSALÉN,1399.4722,540.1449
68368,JESÚS MARÍA,2036.9799,114.3939
68370,JORDÁN,2455.2435,2704.2398
08372,JUAN DE ACOSTA,8014.3546,1493.48
25372,JUNÍN,2438.8561,445.1646
27372,JURADÓ,287.652,0.0
23350,LA APARTADA,3385.9659,1789.0124
41378,LA ARGENTINA,2931.526,1008.0649
68377,LA BELLEZA,4029.7973,1644.9005
25377,LA CALERA,11666.6841,1557.1282
15380,LA CAPILLA,3082.3507,0.0
05376,LA CEJA,10139.3819,2363.1183
66383,LA CELIA,3705.0413,1232.7238
91405,LA CHORRERA (ANM),1707.287,1254.784
52378,LA CRUZ,7443.8511,1036.0072
76377,LA CUMBRE,4539.0623,913.6424
17380,LA DORADA,8255.4708,3225.9786
54385,LA ESPERANZA,1991.0752,530.2568
05380,LA ESTRELLA,10259.7063,1302.4079
52381,LA FLORIDA,3920.0386,709.6696
20383,LA GLORIA,2656.6707,1280.203
94885,LA GUADALUPE (ANM),,
20400,LA JAGUA DE IBIRICO,5128.5728,2411.5687
44420,LA JAGUA DEL PILAR,9317.8577,1793.5175
52385,LA LLANADA,2919.908,1754.487
50350,LA MACARENA,608.4089,512.8739
17388,LA MERCED,2938.3237,339.0388
25386,LA MESA,9600.7055,1342.2424
18410,LA MONTAÑITA,2568.8447,1501.8208
25394,LA PALMA,2913.6087,530.4246
20621,"LA PAZ,CESAR",5263.2335,1562.1494
68397,"LA PAZ,SANTANDER",3936.0379,790.0257
91407,LA PEDRERA (ANM),4047.9448,2526.6249
25398,LA PEÑA,1636.7105,119.5768
05390,LA PINTADA,6565.243,1329.7644
41396,LA PLATA,3120.727,1757.4117
54398,LA PLAYA,2296.0704,707.3436
99524,LA PRIMAVERA,2597.2953,1251.3452
85136,LA SALINA,5394.5447,701.0638
19392,LA SIERRA,3228.5916,598.9816
63401,LA TEBAIDA,5479.6181,2044.3461
52390,LA TOLA,2025.7247,153.4722
70400,LA UNIÓN,3337.7439,805.9597
76400,LA UNIÓN,6013.4238,2409.6095
05400,LA UNIÓN,7849.8268,2532.3332
52399,LA UNIÓN,9120.7969,2436.7694
15403,LA UVITA,6333.8964,568.0618
19397,LA VEGA,1191.6155,518.6239
25402,LA VEGA,7102.6712,1577.8076
15401,LA VICTORIA,1797.5308,0.0
76403,LA VICTORIA,6454.544,2171.7691
91430,LA VICTORIA (ANM),0.0,0.0
66400,LA VIRGINIA,9185.1587,2416.6807
54377,LABATECA,3275.1193,589.2627
15377,LABRANZAGRANDE,3098.5916,821.9827
68385,LANDÁZURI,2439.1158,940.8701
68406,LEBRIJA,3836.6135,2362.5931
52405,LEIVA,2108.1561,1334.0535
50400,LEJANÍAS,1676.2431,866.4964
25407,LENGUAZAQUE,3768.7506,921.2475
91001,LETICIA,16861.2526,7644.3245
05411,LIBORINA,3319.1898,1189.4572
52411,LINARES,5456.4521,1146.9577
27413,LLORÓ,3363.5209,243.7484
23417,LORICA,5416.7886,2002.0262
52418,LOS ANDES,2791.7116,962.512
23419,LOS CÓRDOBAS,1992.188,836.5435
70418,LOS PALMITOS,4911.6715,654.6704
54405,LOS PATIOS,9905.7816,4023.8415
68418,LOS SANTOS,2309.6123,1310.8872
54418,LOURDES,4208.0513,1399.4257
08421,LURUACO,3294.5579,1260.7874
73408,LÉRIDA,3525.5824,2224.3082
73411,LÍBANO,6693.2982,2023.7155
19418,LÓPEZ DE MICAY,378.7287,255.4652
15425,MACANAL,2877.3862,239.0151
68425,MACARAVITA,1434.5109,0.0
